Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
2;11---CONQUISTA-2;5;2;3;3;3;9;3;3;4;1;1;5;1;5;3;3;3;1;2;2;2;3;1;2;7;0;2;0;3;3;2;3;90;4;2;1;10.9;4;2.686159504;16.44;2.386666667;27;58.66666667;5.666666667;1.99;27.73;24.775;20.25;4.51;47.25;36.32
4;2011-34-41;3;3;3;3;2;5;4;3;4;3;1;3;1;5;5;7;5;1;2;1;3;2;2;3;7;5;3;1;4;3;2;7;90;2;4;1.12;14.98;3.9;3.853508323;19.24;2.463333333;27.66666667;72.79333333;7;2.4296;28.93041667;40.74625;32.282;7.438;58.35666667;33.78208333
5;2011-34-45;9;5;3;7;2;5;4;5;4;1;2;5;1;5;3;7;3;1;3;1;3;2;2;3;7;5;3;0;3;3;2;5;115;2;4;1.666666667;15.56;4.36;3.567244678;27.54;1.93;39.33333333;68.56;4.666666667;2.364666667;24.088;32.30733333;27.554;4.751333333;57.334;37.67133333
20;2019g-08-06;9;3;3;3;3;9;4;3;4;4;1;3;1;5;1;3;3;1;1;1;2;2;2;3;7;5;2;0;3;3;2;5;100;NA;4;1;15.54;4.44;3.505317749;15.42;1.82;27.66666667;51.05666667;7;2.04;23.15;65.76;34.75;31.02;73.97;28.61
25;2019g-08-11;3;7;3;3;3;8;2;3;1;1;1;5;1;4;7;7;3;1;1;1;2;2;2;3;3;0;3;0;3;7;1;5;95;NA;3;3;20.38;2.52;8.219999999;25.32;2.446666667;28;67.65333333;4;2.66;49.21;29.27;24.9;4.37;37.29;38.08
30;2019g-08-17;3;7;3;3;3;6;2;3;3;3;1;3;1;5;3;3;3;1;4;1;1;0;1;3;7;3;3;0;3;3;1;5;0;NA;4;5;13.02;3.98;3.294286392;18.4;16.12666667;23.33333333;45.08;3.333333333;2.22;13.02;12.76;7.73;5.03;49.49;34.76
35;2019g-08-22;5;2;3;3;2;9;4;3;4;1;1;5;1;5;7;7;5;1;4;1;1;0;2;3;7;5;3;0;3;3;2;5;0;NA;8;1;19.28;3.78;5.115124576;24.62;1.893333333;15.33333333;50.16;5.666666667;2.67;46.63;49.25;60.65;8.43;51.37;34.07
37;2019g-08-24;3;5;5;3;3;9;2;3;4;1;1;3;1;4;1;7;3;1;1;1;2;2;2;3;3;0;3;0;4;7;2;3;95;NA;4;5;15.62;2.62;6.020794212;16.3;2.42;29.33333333;58.38333333;3;2.06;2.92;37.72;34.25;3.47;92.82;27.59
38;2019g-08-25;5;5;3;3;3;9;4;3;4;1;1;3;1;4;7;7;5;1;1;1;2;2;2;3;7;0;1;0;3;3;1;5;110;NA;4;3;16.2;2.26;7.323661146;16.86;2.42;28.66666667;63.22;4.666666667;1.35;31.71;64.35;94.21;16.44;66.99;27.67
56;2019g-08-44;7;5;3;3;3;8;2;3;3;1;2;5;1;5;1;3;3;1;4;1;3;2;1;3;7;3;3;0;3;7;2;5;105;NA;4;2;15.62;4.14;3.780427273;18.86;1.27;31.66666667;53.52;5.666666667;2.64;31.585;28.82;20.415;8.405;47.135;30.24
57;2019g-08-46;3;3;3;3;3;9;2;3;4;1;1;3;1;5;5;3;3;1;1;1;1;0;2;3;7;0;3;0;3;7;1;3;0;NA;4;3;17.58;4.5;3.917817737;27.5;1.623333333;32;63.02;6;2.06;41.53;31.04;23.26;7.78;42.78;34.93
