BAG,Pheno,CoreHunter,DARWin,NCSel
ComprFilotaxia,0.663551798194327,0.7920048292972,0.625544176493483,0.650314981254487,0.710833692230915
ComprLobulo,0.790460364849811,0.857068755610268,0.749352140831293,0.788258156694251,0.810086299948117
LargLobulo,0.817237217384814,0.88760296596017,0.823527197040526,0.840762264552592,0.856886070545714
RelComprLar,0.504260259918077,0.545193162059003,0.418330084112262,0.571641108757378,0.525297974640536
ComprPeciolo,0.701191729705613,0.812906542411497,0.680834838953116,0.730478999056469,0.754896742337126
EspEntreCasca,0.0179812425732917,0.0449275658116986,0.0263542027345908,0.0239567842451419,0.0362891129446932
ComprMedRzs,0.470860033661483,0.585921562142752,0.395567273492401,0.494094731160743,0.509372587329246
DiamMedRzs,0.600405947942263,0.703345650986807,0.55166547216027,0.536140907945824,0.618032792764764
HCNPic,0.871836793698058,0.879275871090092,0.826409671517519,0.867155563491641,0.869094086479616
NR,0.684085245712228,0.748920302430949,0.719866492581795,0.6890471088602,0.723331093586504
PA,0.812851801160739,0.830186243517435,0.783727248401438,0.80091977157606,0.815632539302529
DRY,0.717222271486174,0.767635903483158,0.696389784485332,0.683701564082966,0.72697003677004
DMCsg,0.70825858452519,0.770702904472145,0.717978855310998,0.712941382213358,0.742897556025959
PTR,0.764982922793076,0.815057026568533,0.739824970693774,0.726669806264862,0.770584628300268
PPA,0.782051788589567,0.819210394147569,0.735358968051583,0.770675024222735,0.78392630097799
IC,0.758589649365472,0.827321985187829,0.817164422187472,0.741963516952334,0.806042776545468
